SOURCE_ID,PSAI_N,Shape_Length,Shape_Area,GiZScore,GiPValue,NNeighbors,Gi_Bin
44,0.218608000000000,399732.313716108677909,2551436362.869236946105957,-1.491106082938178,0.135933645536465,8,0
45,0.351095000000000,311362.669345100293867,3469364869.258172988891602,-0.882867902930366,0.377307656865987,4,0
46,0.138391000000000,219882.616220228723250,735111822.298017144203186,-0.263609702630361,0.792080681576788,6,0
47,0.250081000000000,404160.165497517213225,3122630974.969304561614990,-0.595557032218991,0.551471191398849,5,0
48,0.220365000000000,335068.110575035854708,1271653543.960897445678711,0.222225771618783,0.824138132967127,7,0
49,0.284492000000000,388169.913473592197988,2050212633.023392200469971,-0.319386823560378,0.749433201804835,4,0
50,0.308866000000000,559196.186571934144013,4329486855.230662345886230,0.611042484313668,0.541171458335479,5,0
51,0.326416000000000,467875.769575681595597,2798358782.955852508544922,-0.415773085876104,0.677576056051504,4,0
52,0.369901000000000,211888.238831319380552,1326912803.841543912887573,-0.054024550980055,0.956915603946077,4,0
53,0.337875000000000,540283.075065785553306,3458599338.677706241607666,-0.576543922114765,0.564247593739280,4,0
54,0.207201000000000,339267.899146586365532,2148884222.013332843780518,-0.463126362556064,0.643273796144257,7,0
55,0.289211000000000,475981.103664952388499,2265794962.968998908996582,-0.875874256439997,0.381098405298502,4,0
56,0.220101000000000,475483.930957034288440,1234895019.458455562591553,-0.697621191089956,0.485414130365580,4,0
57,0.254430000000000,268328.220973673218396,1595426577.737931966781616,-0.874991459479485,0.381578561980955,6,0
58,0.245880000000000,364300.955613138910849,1403392037.954038143157959,-0.798548167644063,0.424552459870297,3,0
59,0.236194000000000,374430.095169756328687,2361528448.096810340881348,-0.727631091909191,0.466839447988055,6,0
60,0.203517000000000,339175.610587509348989,1805384027.533032417297363,-0.539986739219075,0.589206179907882,4,0
61,0.177829000000000,439391.990908460516948,2609935621.739946842193604,-1.083736148944352,0.278481819527707,4,0
62,0.223431000000000,429158.162105477182195,2673839765.709223747253418,-0.579769620301820,0.562069989868349,3,0
63,0.224763000000000,496573.343060751736630,3665572417.052561283111572,-0.216373914090948,0.828696298342744,2,0
64,0.353184000000000,440753.951592342287768,3422897632.258688926696777,-0.082815316121836,0.933998390461481,2,0
