SOURCE_ID,PSAI,Shape_Length,Shape_Area,LMiIndex,LMiZScore,LMiPValue,COType,NNeighbors,ZTransform,SpatialLag
40,1.983015000000000,313093.104092810826842,2390123048.668916225433350,0.001830088932351,0.402058279719217,0.280000000000000,,5,0.010942719064103,0.169897257905693
41,2.512845000000000,369727.268701263295952,2421767239.653806686401367,0.054029416605329,0.354119819593211,0.298000000000000,,3,0.769167919412642,0.071358964677868
42,1.458302000000000,379107.248092734662350,2509933664.055572032928467,-0.290572145263126,-0.861618889539944,0.134000000000000,,4,-0.739959682744936,0.398919574161307
43,2.232218000000000,329829.236224961234257,1533717298.945838928222656,-0.032985868959675,-0.162582600893489,0.466000000000000,,4,0.367570306408076,-0.091164747524668
44,1.575993000000000,399732.313716108677909,2551436362.869236946105957,0.302279065917597,1.539869157263421,0.024000000000000,LL,7,-0.571535316336428,-0.537284639376918
45,2.257980000000000,311362.669345100293867,3469364869.258172988891602,-0.263141719284076,-1.112472479391103,0.078000000000000,,3,0.404437598957344,-0.660963700358929
46,1.163069000000000,219882.616220228723250,735111822.298017144203186,0.107176673512364,0.172497417171020,0.472000000000000,,5,-1.162459542274409,-0.093661660120419
47,1.738002000000000,404160.165497517213225,3122630974.969304561614990,0.037100582873987,0.200448357203235,0.444000000000000,,4,-0.339688674048776,-0.110953010489340
48,1.585038000000000,335068.110575035854708,1271653543.960897445678711,-0.004178343160362,0.034061320445952,0.452000000000000,,6,-0.558591264589353,0.007598876561003
49,1.915132000000000,388169.913473592197988,2050212633.023392200469971,0.000743917514952,-0.039228846168484,0.436000000000000,,3,-0.086202782842659,-0.008766836806819
50,2.040602000000000,559196.186571934144013,4329486855.230662345886230,0.029675321469029,0.635946314973950,0.186000000000000,,4,0.093353897390115,0.322925546340780
51,2.130941000000000,467875.769575681595597,2798358782.955852508544922,-0.070679174492757,-0.552868699993090,0.288000000000000,,3,0.222635565801279,-0.322504923653847
52,2.354781000000000,211888.238831319380552,1326912803.841543912887573,-0.089567906667881,-0.268203794645662,0.420000000000000,,3,0.542966858566915,-0.167578587968129
53,2.189928000000000,540283.075065785553306,3458599338.677706241607666,-0.139186059191002,-0.776249071692237,0.174000000000000,,3,0.307050245779686,-0.460495842818176
54,1.517274000000000,339267.899146586365532,2148884222.013332843780518,0.068439188966954,0.290812793817135,0.418000000000000,,6,-0.655566468855662,-0.106054120524385
55,1.939423000000000,475981.103664952388499,2265794962.968998908996582,0.027663222663043,0.953398331365494,0.136000000000000,,3,-0.051440598101014,-0.546306273116973
56,1.583676000000000,475483.930957034288440,1234895019.458455562591553,0.156674741999332,0.485895395414625,0.294000000000000,,3,-0.560540385482611,-0.283943221198871
